ratings,review
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
5,On this purchase I got great deal with flipkart thanks flipkart. And its delivered before estimate date so over all its my great experience with flipkart.
4,i love the size of this phone. it camera is good love the ios performance is best overall
5,Pros 
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
4,moving from android to ios turned out good for many reasons. Camera could have been better for such pricetag particularly the front camera.Rest is excellent..loudspeaker is unblvably good..
5,On this purchase I got great deal with flipkart thanks flipkart. And its delivered before estimate date so over all its my great experience with flipkart.
4,i love the size of this phone. it camera is good love the ios performance is best overall
4,i love the size of this phone. it camera is good love the ios performance is best overall
5,Pros 
5,Pros 
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
4,moving from android to ios turned out good for many reasons. Camera could have been better for such pricetag particularly the front camera.Rest is excellent..loudspeaker is unblvably good..
4,moving from android to ios turned out good for many reasons. Camera could have been better for such pricetag particularly the front camera.Rest is excellent..loudspeaker is unblvably good..
5,On this purchase I got great deal with flipkart thanks flipkart. And its delivered before estimate date so over all its my great experience with flipkart.
5,On this purchase I got great deal with flipkart thanks flipkart. And its delivered before estimate date so over all its my great experience with flipkart.
4,i love the size of this phone. it camera is good love the ios performance is best overall
4,i love the size of this phone. it camera is good love the ios performance is best overall
4,i love the size of this phone. it camera is good love the ios performance is best overall
5,Pros 
5,Pros 
5,Pros 
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
5,Super class phone display awesome sounds awesome camera good quality great deals in this price 
4,moving from android to ios turned out good for many reasons. Camera could have been better for such pricetag particularly the front camera.Rest is excellent..loudspeaker is unblvably good..
4,moving from android to ios turned out good for many reasons. Camera could have been better for such pricetag particularly the front camera.Rest is excellent..loudspeaker is unblvably good..
5,On this purchase I got great deal with flipkart thanks flipkart. And its delivered before estimate date so over all its my great experience with flipkart.
5,On this purchase I got great deal with flipkart thanks flipkart. And its delivered before estimate date so over all its my great experience with flipkart.
4,i love the size of this phone. it camera is good love the ios performance is best overall
4,i love the size of this phone. it camera is good love the ios performance is best overall
5,Pros 
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
5,"Purchased at BBD @2016 Oct. After 5months of use, Found Good/Bad points in it:"
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
4,"i been using this beauty for last 6 days, ordered on big billion days sale, the is brand new not refurbished, got the charger and headset and pin in the box, got them checked in apple service center, the built is truly premium, sophisticated space grey color, it is blazing fast device, never hangs, never get heated, or no lags at all. giving 1 day battery for moderate use, like whatsapp regularly and checking email in intervals, and some calling. this is my 1st  iphone, i came from android, s..."
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
5,1st of all guys i don't believe in online shopping specially for the phone (specially apple)
