ratings,review
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
5,its camera and its performance is awesome its speed like thunder. I am playing pubg in this mobile and its performance OMG its smoth like a high graphics Computer. this phone have a game booster also
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,Review after 7 months of use--
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,Mobile is good . But from my point of view the touch is not so good or smooth as compared to samsung mobile . But all the things are good.
5,"I have purchased this mobile on 23rd November of 2018 & today is 25th January of 2021 so I am using this mobile from last 2 years,2months.."
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
5,its camera and its performance is awesome its speed like thunder. I am playing pubg in this mobile and its performance OMG its smoth like a high graphics Computer. this phone have a game booster also
5,its camera and its performance is awesome its speed like thunder. I am playing pubg in this mobile and its performance OMG its smoth like a high graphics Computer. this phone have a game booster also
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,"An absolute beast!                                                       Reviewing after 1 month of usage:  1. The build quality of this phone is not premium but its not bad either it looks solid overall and a little heavy because of the monster of a battery. 2. The display quality is very good and so does the viewing angles. 3. Coming to the performance this is where this phone's strength lies and it absolutely kills it at this price segment. The gaming performance was terrific, I played PUB..."
5,Review after 7 months of use--
5,Review after 7 months of use--
5,Review after 7 months of use--
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"Excellent Phone With Excellent Camera. Performance Is Really Good No Heating Issue Even While Playing PUBG. Great Battery Life,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,"I brought this phone in March 2019 just because of its specification. It was working fine till one year but just after one year, I have noticed the following issues,"
5,Mobile is good . But from my point of view the touch is not so good or smooth as compared to samsung mobile . But all the things are good.
5,Mobile is good . But from my point of view the touch is not so good or smooth as compared to samsung mobile . But all the things are good.
5,"I have purchased this mobile on 23rd November of 2018 & today is 25th January of 2021 so I am using this mobile from last 2 years,2months.."
5,"I have purchased this mobile on 23rd November of 2018 & today is 25th January of 2021 so I am using this mobile from last 2 years,2months.."
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
5,Best smartphone ever under this price range...i bought this phone on the first sale in 50 sec but i thought I'm gonna miss this out but the sale went for nearly 5 mine and the thing all talking about the build quality but i don't care about it when it comes to internal parts like the flagship processer and ram management etc.... everything is awesome and why I'm posting this review now is cuz I thought to put this review after a week use so now I'm posting it and I'm telling you all that don'...
