ratings,review
5,Excellent product!!!
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Excellent product!!!
5,Excellent product!!!
5,Excellent product!!!
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,"It takes more time to charge and pb, "
5,Nice products
5,Great mi power bank
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
5,Best metal body power bank good quality and fast charging 18w I like it 👍
4,CONS(Negative side): 
5,Excellent product!!!
5,Excellent product!!!
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Best product.
5,Nice
5,Full fast charging 
5,"It takes more time to charge and pb, "
5,"It takes more time to charge and pb, "
5,"It takes more time to charge and pb, "
5,"It takes more time to charge and pb, "
5,Nice products
5,Nice products
5,Nice products
5,Nice products
5,Great mi power bank
5,Great mi power bank
5,Great mi power bank
5,Great mi power bank
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
5,Best metal body power bank good quality and fast charging 18w I like it 👍
5,Best metal body power bank good quality and fast charging 18w I like it 👍
5,Best metal body power bank good quality and fast charging 18w I like it 👍
4,CONS(Negative side): 
4,CONS(Negative side): 
4,CONS(Negative side): 
5,Excellent product!!!
5,Excellent product!!!
5,Excellent product!!!
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Nice product
3,Don't buy this. It's not worthy. Taking too much time to charge even one point. It takes 3hrs to charge one point. Very dispoiting
5,Good products..but I can't use it regularly
5,Good Product And heavy Body.
4,Gud product.. Value for money.. Stylish and sleek design.. Easy for handling..
5,Best product.
5,Best product.
5,Best product.
5,Best product.
5,Nice
5,Nice
5,Nice
5,Full fast charging 
5,Full fast charging 
5,Full fast charging 
5,Full fast charging 
5,"It takes more time to charge and pb, "
5,"It takes more time to charge and pb, "
5,"It takes more time to charge and pb, "
5,Nice products
5,Great mi power bank
5,Great mi power bank
5,Great mi power bank
5,Great mi power bank
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
4,Best quality powerbank... Nice fit and finish... Last for long... Heavy bulit quality... Awesome product from MI
5,Best metal body power bank good quality and fast charging 18w I like it 👍
5,Best metal body power bank good quality and fast charging 18w I like it 👍
5,Best metal body power bank good quality and fast charging 18w I like it 👍
5,Best metal body power bank good quality and fast charging 18w I like it 👍
4,CONS(Negative side): 
4,CONS(Negative side): 
4,CONS(Negative side): 
5,Excellent product!!!
5,Excellent product!!!
5,Excellent product!!!
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Light weight for carrying with mobile . But little costlier if one compare with 20000 am mi power bank.
5,Nice product
5,Nice product
