ratings,review
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
4,A crazy-good budget gaming smartphone.
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
5,Gaming performance is high level
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,1.Awesome camera.. Very much satisfied
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
5,Gaming performance is high level
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,Sexiest phone in this range
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
5,Gaming performance is high level
5,Gaming performance is high level
5,Gaming performance is high level
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,Sexiest phone in this range
5,Sexiest phone in this range
5,Sexiest phone in this range
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
4,Great phone. What I like most about this phone is its superb camera. Speed and Screen Refresh rate also very good. Display and auto brightness also very good. 
5,Gaming performance is high level
5,Gaming performance is high level
5,Gaming performance is high level
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,Sexiest phone in this range
5,Sexiest phone in this range
5,Sexiest phone in this range
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,Gaming performance is high level
5,Gaming performance is high level
5,Gaming performance is high level
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,Sexiest phone in this range
5,Sexiest phone in this range
5,Sexiest phone in this range
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,Poco x3 ❤just love it❤
4,Good 👍 one
5,Gaming performance is high level
5,Gaming performance is high level
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,Sexiest phone in this range
5,Sexiest phone in this range
5,"Overall the phone is just good for me, good battery backup with full time net use and other works with calling, it just giving me 3days battery backup. By the way I'm not a frequent user. Over all if you buy it, I can surely challange you that in this phone pros are more than cons.."
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,1.Awesome camera.. Very much satisfied
5,Super mobile
5,Poco x3 ❤just love it❤
5,Poco x3 ❤just love it❤
4,Good 👍 one
4,Good 👍 one
5,Gaming performance is high level
5,Gaming performance is high level
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,Sexiest phone in this range
5,Sexiest phone in this range
4,Good
5,I m using this smartphone from last 4 months and I think this is enough time to write an honest review. 
5,Very good product
4,Product is awesome no doubt in this price range but the delivery fed up me i got my order after 3 weeks
5,Ecalent mobile ferfamence
5,No words for this phone just love it best in class
5,Super mobile
5,Super mobile
5,Poco x3 ❤just love it❤
5,Poco x3 ❤just love it❤
5,Poco x3 ❤just love it❤
4,Good 👍 one
4,Good 👍 one
4,Good 👍 one
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
5,One of the best phones under 20k . Build quality is superb. Cameras are osm. 4k videos are clear. Battery backup is outstanding u can go straight 4hrs of gaming and still have 55 percent charge in it. 33w fast charging works well. Sound quality is outstanding. Weight will be an issue in the initial stage but you'll get used to it. 120hz refresh rate gives you snappy touch while gaming
4,Good
4,Good
5,Very good product
5,Very good product
5,Very good product
